cve_ent,ent,anio,pob_tot,i_analf,i_asistesc,i_edbasinc,i_sdsalud,i_ptierra,i_nosan,i_noagua,i_nodren,i_noelec,i_nolav,i_noref,irs,grs,lugar
00,Nacional,2020,126014024,4.741623,6.120441,29.593036,26.187334,3.514389,1.929619,3.45735,4.263078,0.764752,27.153571,12.360696,,,
01,Aguascalientes,2020,1425607,2.108761,5.011983,23.479359,18.384309,0.751015,0.622521,0.553611,0.616304,0.313463,13.030976,5.394147,-1.101561,Muy bajo,29
02,Baja California,2020,3769020,1.821198,6.51376,24.620451,22.189243,1.972994,0.659209,2.081973,3.473451,0.781909,17.269288,5.071003,-0.642387,Bajo,26
03,Baja California Sur,2020,798447,2.330508,4.231975,23.854995,16.190179,4.693388,1.250428,5.002131,2.577729,1.180658,31.46918,8.168935,-0.317027,Bajo,18
04,Campeche,2020,928363,5.854886,6.399813,29.683535,21.899192,2.747664,3.616541,3.974698,5.10297,1.351159,22.6788,15.982953,0.244535,Medio,9
05,Coahuila de Zaragoza,2020,3146771,1.666687,4.976955,21.263403,18.983682,0.807531,0.708561,0.976257,1.247952,0.266141,13.358252,3.257449,-1.147587,Muy bajo,31
06,Colima,2020,731391,3.367777,5.966263,27.654996,16.827388,2.541898,0.752942,0.721588,0.458831,0.495043,24.758771,6.557442,-0.690655,Bajo,28
07,Chiapas,2020,5543828,13.687469,10.52372,48.053342,32.735179,11.088231,3.22371,9.911394,8.495332,1.7782,56.22025,35.418903,2.644224,Muy alto,1
08,Chihuahua,2020,3741869,2.622688,6.865735,27.127121,15.342814,1.902749,1.535734,1.522636,3.242795,1.492335,14.05476,5.548361,-0.518357,Bajo,21
09,Ciudad de México,2020,9209944,1.423562,5.242769,17.528494,27.174856,0.58859,0.304051,1.05386,0.152861,0.069654,17.17707,6.251724,-1.115345,Muy bajo,30
10,Durango,2020,1832650,2.719656,5.383499,27.409163,25.176329,3.579091,3.079235,1.962112,5.048444,1.809012,22.676227,8.896018,-0.045956,Medio,14
11,Guanajuato,2020,6166934,5.28497,7.006114,33.445308,20.67786,2.340624,2.559574,2.710505,3.086948,0.475255,19.399003,7.573411,-0.209212,Bajo,16
12,Guerrero,2020,3540685,12.456393,6.275503,42.469836,25.191764,14.043994,9.453408,11.063002,11.813223,1.582253,54.192762,19.345758,2.450336,Muy alto,3
13,Hidalgo,2020,3082841,6.612616,3.752544,29.810503,30.119945,2.851267,2.737343,3.892712,5.001344,0.891532,39.928724,17.243144,0.320126,Alto,7
14,Jalisco,2020,8348151,2.890534,6.97149,29.400571,29.37799,1.536777,1.281256,0.703456,0.737393,0.331988,16.940245,5.17288,-0.616826,Bajo,24
15,México,2020,16992418,2.895743,5.671544,24.859393,33.382971,2.033638,1.485405,2.595902,2.46079,0.323696,27.464314,14.211069,-0.298102,Bajo,17
16,Michoacán de Ocampo,2020,4748846,7.030449,7.9841,42.266301,37.580267,5.214326,1.758461,2.71115,4.194808,0.597565,25.747073,11.127279,0.529919,Alto,6
17,Morelos,2020,1971520,4.43822,5.858555,27.449949,28.007324,3.851176,1.160075,4.045058,1.805395,0.428187,33.853751,9.809659,-0.126541,Bajo,15
18,Nayarit,2020,1235456,4.479029,5.365439,28.937138,22.100261,3.132368,3.337601,2.593598,3.730293,1.707125,26.494464,10.420491,0.044037,Medio,12
19,Nuevo León,2020,5784442,1.459111,4.867864,18.839042,18.543949,0.842643,0.531859,0.731351,0.884416,0.172228,12.935868,3.56783,-1.254735,Muy bajo,32
20,Oaxaca,2020,4132148,11.812375,5.814697,45.229899,29.427552,13.296834,2.796819,9.809724,19.389471,2.250041,52.658208,29.594793,2.590888,Muy alto,2
21,Puebla,2020,6583278,6.966557,6.262602,36.779731,29.194347,5.098019,1.684118,4.449022,4.822751,0.764472,41.358544,25.403796,0.744487,Alto,5
22,Querétaro,2020,2368467,3.471752,5.552356,23.526752,20.539319,1.928562,2.231889,2.054686,2.548098,0.55213,24.740861,8.469044,-0.524491,Bajo,22
23,Quintana Roo,2020,1857985,3.060679,6.760623,22.427682,25.219795,2.230006,2.423867,1.608363,1.891577,0.929242,25.288439,12.831549,-0.317166,Bajo,19
24,San Luis Potosí,2020,2822255,5.004788,4.703316,29.165017,17.372066,4.891231,2.042086,7.40951,9.074959,1.440605,25.278211,12.178427,0.319126,Alto,8
25,Sinaloa,2020,3026943,3.551563,4.866079,28.737289,18.999862,2.28457,1.931403,1.523047,2.994536,0.554591,22.917294,4.984293,-0.567552,Bajo,23
26,Sonora,2020,2944840,1.98957,4.635632,22.257635,18.59955,2.439094,1.097512,1.41478,4.674606,0.970331,23.880042,5.797509,-0.650546,Bajo,27
27,Tabasco,2020,2402598,5.083036,4.91891,29.122373,31.444461,3.440611,2.310744,6.165425,2.419348,0.669274,24.652723,13.46655,0.076399,Medio,11
28,Tamaulipas,2020,3527735,2.572906,5.85367,25.609837,20.235619,1.500192,0.590425,1.745788,5.083129,0.635309,20.203674,5.779626,-0.622628,Bajo,25
29,Tlaxcala,2020,1342977,3.34789,4.902319,26.864832,26.556002,1.833678,2.971955,0.977258,1.899376,0.545235,41.879843,24.249019,-0.040526,Medio,13
30,Veracruz de Ignacio de la Llave,2020,8062579,8.490989,6.627817,39.774288,27.639791,5.735212,1.883103,8.478764,8.915445,1.343163,37.037897,18.272309,1.143246,Muy alto,4
31,Yucatán,2020,2320898,5.986056,4.212394,31.388005,21.763473,1.408114,6.476411,1.187383,7.617517,0.907434,25.12791,15.85917,0.152467,Medio,10
32,Zacatecas,2020,1622138,3.75195,5.293621,32.19748,20.111606,1.329073,2.908903,1.856361,3.60419,0.578163,15.779977,7.649973,-0.452588,Bajo,20
00,Nacional,2015,119530753,5.485098,3.506916,35.28708,17.2751,3.553083,2.827854,5.103569,6.078485,1.024272,30.45102,14.7582,,,
